Localefase_1800Hz,Spoorfase_1800Hz
0.0374250411987305,0.276598930358887
0.04597345883917,0.465250256792223
0.0513831822588984,0.624342722524397
0.0515546055310916,0.741193659918605
0.0476248050013949,0.811554212906492
0.0409699574538161,0.8233342807339
0.032342250101069,0.775620499267198
0.0215798676973219,0.673309039970218
0.00905155826231454,0.526167054190636
-0.00447553455136135,0.34419371505859
-0.016828460143498,0.14358800231595
-0.0277190026937005,-0.0688667683115304
-0.0378341629102906,-0.276698726232734
-0.0464184919245376,-0.465217280436098
-0.0517894896461551,-0.622667795277438
-0.0519055762160274,-0.740438103618054
-0.0479393787795628,-0.806936578169483
-0.0412345380974075,-0.822027417023143
-0.0326958554988912,-0.777150618031122
-0.0221269986518415,-0.675665886076455
-0.00963149650988571,-0.527154616594044
0.00394582079770515,-0.346503867092287
0.0162692027964888,-0.141742412819074
0.0272197498985111,0.067962288283064
0.0373516736102544,0.274197781235932
0.0459252415869344,0.463577098099558
0.0513894849416517,0.622760723056368
0.0515566258036267,0.740142498902555
0.0477326339839767,0.811092538376076
0.0410531149955166,0.823657281486281
0.032529858293773,0.776621488485528
0.0217832166486859,0.675016541181243
0.00923772034795938,0.52823981226494
-0.0042689751777109,0.346501949917873
-0.0167345890074907,0.145956206894376
-0.0275789474141927,-0.0664491388995146
-0.0377275086890092,-0.274297595599025
-0.0462727906930718,-0.46332571165067
-0.0516909911357646,-0.621231443488069
-0.0519116679954781,-0.73948607794146
-0.0480579455788346,-0.806809507241033
-0.0413205138015942,-0.822453522475148
-0.0328306197404573,-0.778112986736959
-0.0222652716587364,-0.677093421447407
-0.00983352391198276,-0.529086105735237
0.00378835969574055,-0.348449316059008
0.0161723575922171,-0.144102654181425
0.0270696767135505,0.0656610665846193
0.0372063747563044,0.272126056676849
0.0458270122985805,0.461737178645362
0.0513757037168545,0.621244112606704
0.0515824515757517,0.739088375476686
0.0477920409964872,0.810534760369053
0.041128046011726,0.823639070375797
0.0325547064067932,0.777543495732734
0.0219210073664664,0.67637365524612
0.0094456848454286,0.530270359647906
-0.00414314779971651,0.348455182295967
-0.0165115896942625,0.14816685799643
-0.0274235052909359,-0.0641370103563942
-0.0376085487210478,-0.271839543409635
-0.0462521912570778,-0.461214995341161
-0.0517200245267803,-0.619355900782898
-0.051987217077198,-0.738232008942142
-0.0480923111237137,-0.806093191315118
-0.0413792191096574,-0.822299484998111
-0.0329573045164278,-0.778700415347955
-0.0224125931389208,-0.678192396332419
-0.00995458277101532,-0.530898897421966
0.00358430689810571,-0.350594459013719
0.0159773014286566,-0.146696674677549
0.0269529659092521,0.0630643442692724
0.0370935025559441,0.269612457855021
0.0457751572255454,0.459570253682287
0.0513130572960579,0.619245685997116
0.051592371248343,0.737620612324499
0.0477950642787105,0.809566767876807
0.0412620071209108,0.823550544748148
0.0326923841038371,0.77831630610289
0.0219751240675277,0.67769948812589
0.00946522328061418,0.532251327625499
-0.0040012993997786,0.3509854901206
-0.0164109639616603,0.15072966878905
-0.0273383190692788,-0.0614502948514036
-0.0374552504397365,-0.269146157107126
-0.0460849214861571,-0.45875935671054
-0.0516691874276649,-0.617405153518095
-0.0519809850935533,-0.737071024381853
-0.0481953073845592,-0.805506397340522
-0.0414933102648908,-0.822533812156981
-0.0330358219422143,-0.779622444370578
-0.0225384238265593,-0.679803675712425
-0.0101073452351856,-0.532942465736671
0.00344727481247301,-0.353320071219596
0.0159590719438746,-0.149464842563172
0.0267857319936872,0.0603773758544237
0.0369894135846155,0.267238095603769
0.0456999625430087,0.457426692470777
0.0513067963936091,0.617718125087085
0.0516701328277211,0.736526364052029
0.0479034092410953,0.809277024038648
0.0413056276754754,0.824054943015646
0.0328118055078421,0.779466701648768
0.0221858485565179,0.679594492155134
0.00974406544047415,0.534308506817585
-0.00370389539477589,0.353171731810057
-0.0161986875951982,0.153175227727518
-0.0271301548637126,-0.058994909650651
-0.0373230419366418,-0.266800684589318
-0.046041215751281,-0.45687841009004
-0.051589340108629,-0.616212903430602
-0.0519808038400348,-0.736312016667574
-0.0482246110362927,-0.805424775550509
-0.0415170896079611,-0.822891382868026
-0.033128218248771,-0.780521961495304
-0.022620461206551,-0.681230626449378
-0.0102629004567837,-0.534883687905276
0.00328613773455202,-0.35532815901537
0.0158242885116053,-0.151876076948495
0.0267221758261437,0.0582419523839804
0.0369176740284502,0.265209041405393
0.0456270789363214,0.455472220922998
0.0512872208134972,0.616115023237844
0.0516587632253013,0.735352636199005
0.0479787012439636,0.808730655298376
0.0414575352803579,0.824092312420321
0.0329894724495727,0.780232945893603
0.0223530675695673,0.680884183819556
0.00985992964632739,0.536137006906003
-0.00363381301326994,0.355073894644567
-0.0161121403682538,0.15525181368318
-0.0270357254740915,-0.0566340441630175
-0.03725787592403,-0.264545729776734
-0.0459576764388414,-0.454752561034258
-0.0516066490044569,-0.614441532930634
-0.052021249630569,-0.73494149596103
-0.0482632982363773,-0.804552435113776
-0.0417156253937382,-0.822571022664701
-0.0332854945847673,-0.781034988352501
-0.0227950763172921,-0.682379716209797
-0.0104081179253066,-0.536680373487531
0.0031839095118064,-0.35767735276047
0.0156726898894402,-0.154345812564024
0.0266054479304178,0.0557267551623086
0.0368145862724251,0.26268360720868
0.045505580788097,0.453125092538779
0.051278202348398,0.613936806156544
0.0516733642682563,0.733736744141951
0.0480082266152303,0.807655707078353
0.0414787524963907,0.824007337630865
0.0330657764037675,0.780934100901656
0.0224302345516648,0.682239242166664
0.0100368054056154,0.537922985202124
-0.00343162443591521,0.357692200829044
-0.0159715054846918,0.157990644679851
-0.0269408349591657,-0.0536885976116285
-0.037223876369917,-0.261734559980136
-0.0459181354316525,-0.452294289162027
-0.0516046849821944,-0.612520500091847
-0.052071836076544,-0.733718569181335
-0.0483353185001538,-0.803876295807622
-0.0417247507188225,-0.822627690493462
-0.033398922157805,-0.781862309459891
-0.0229712526277833,-0.684187439287178
-0.0105316820628905,-0.538936353524015
0.00298546160824294,-0.360635528615635
0.0154989398792532,-0.157276864232806
0.0264068151716465,0.0529330444395145
0.0366988829567201,0.260005352458091
0.0453549950869325,0.450704756769943
0.0511812417581878,0.612335422363066
0.0516755467285638,0.732704131503859
0.0480442480983426,0.807673761457873
0.0415225145113636,0.824739499220832
0.0330896885180529,0.782239917506284
